id,order_id,product_id,quantity,status
1,1,2,1,Pending
2,1,12,3,Paid
3,1,13,2,Paid
4,2,5,1,Pending
5,2,11,2,Pending
6,3,7,3,Pending
7,3,8,1,Shipped
8,3,12,1,Paid
9,3,15,3,Pending
10,4,3,3,Shipped
11,4,8,3,Paid
12,4,12,1,Pending
13,4,14,2,Cancelled
14,5,6,3,Pending
15,5,8,1,Cancelled
16,5,10,2,Pending
17,6,4,1,Paid
18,6,12,3,Pending
19,7,1,1,Cancelled
20,7,3,3,Paid
21,7,7,2,Cancelled
22,7,10,2,Pending
23,7,15,3,Cancelled
24,8,6,1,Cancelled
25,8,9,1,Shipped
26,8,12,2,Paid
27,9,1,3,Cancelled
28,9,3,3,Pending
29,9,4,1,Pending
30,9,14,2,Paid
31,10,5,3,Pending
32,10,7,2,Pending
33,10,8,3,Shipped
34,10,9,2,Pending
35,10,14,1,Paid
