id,vendor_id,name,description,photo_url,price,quantity
1,1,Bicycle,Very pretty blue bike,category-06.jpg,219.95,24
2,1,Toaster,Make four toasts at once!,category-08.jpg,32.95,120
3,2,Luggage,Look at those cute wheels!,category-12.jpg,59.99,38
4,2,Lipstick,Blue lips are all the rage.,category-14.jpg,13.95,89
5,3,Cupcakes,Six delicious blue cupcakes.,category-17.jpg,5.65,133
6,4,Stove,Cute blue stove!,category-18.jpg,159.95,28
7,5,Yarn,Knit something blue.,category-19.jpg,8.95,14
8,6,Pendant,Nifty earthy pendant. So round! So shiny!,category-20.jpg,69.9,37
9,6,Cake,Who doesn't want a blue cake?,category-27.jpg,35.95,23
10,7,Backpack,Blue backpack for the stylish hiker.,category-23.jpg,117.99,5
11,7,Chairs,A chair for everyone! Great for musical chairs.,category-25.jpg,99,4
12,8,Couch,Comfy and stylish.,category-35.jpg,899.99,2
13,9,Mixer,Mix all the things.,category-38.jpg,89.99,4
14,9,Jewelry,Lovely matching earrings and necklace.,category-40.jpg,100,3
15,10,Headphones,Comfy and great sound.,category-41.jpg,59.99,5
