id,product_id,rating,comment
1,11,2,Meh.
2,1,1,Super terrible :(
3,4,5,A++ would buy again.
4,7,4,worth every penny
5,9,5,highly recommended
6,7,4,<33333
7,12,1,Incredibly mediocre.
8,12,5,The best ever!
9,9,5,AMAZING!!!
10,8,2,Way too big.
11,4,5,The best ever!
12,5,4,<33333
13,10,4,worth every penny
14,9,5,AMAZING!!!
15,5,4,worth every penny
16,15,5,A++ would buy again.
17,8,5,The best ever!
18,8,4,<33333
19,2,4,<33333
20,1,1,Incredibly mediocre.
21,15,2,Meh.
22,2,4,worth every penny
23,7,5,The best ever!
24,3,2,Meh.
25,9,4,No complaints here.
26,4,5,highly recommended
27,12,4,<33333
28,14,4,<33333
29,4,4,will buy it again
30,7,5,AMAZING!!!
31,2,2,Way too big.
32,2,5,A++ would buy again.
33,5,4,No complaints here.
34,5,1,Super terrible :(
35,7,2,Meh.
36,6,3,Good.  not great.
37,6,2,Meh.
38,14,4,will buy it again
39,14,5,highly recommended
40,8,3,Good.  not great.
41,14,4,will buy it again
42,7,4,<33333
43,15,2,Way too big.
44,14,4,will buy it again
45,11,5,The best ever!
46,2,3,Good.  not great.
47,4,5,highly recommended
48,13,2,Way too big.
49,14,4,<33333
50,3,1,Super terrible :(
51,4,4,will buy it again
52,14,2,Meh.
53,3,5,highly recommended
54,9,1,Incredibly mediocre.
55,10,2,Way too big.
56,3,4,No complaints here.
57,9,5,highly recommended
58,4,3,Good.  not great.
59,6,4,No complaints here.
60,9,4,will buy it again
61,11,5,The best ever!
62,13,4,will buy it again
63,15,4,worth every penny
64,14,2,Meh.
65,13,5,The best ever!
66,4,5,A++ would buy again.
67,3,2,Meh.
68,11,5,A++ would buy again.
69,3,4,worth every penny
70,10,4,<33333
71,1,1,Super terrible :(
72,2,5,A++ would buy again.
73,11,2,Meh.
74,9,1,Super terrible :(
75,6,5,highly recommended
76,14,1,Super terrible :(
77,11,3,Good.  not great.
78,13,1,Incredibly mediocre.
79,1,2,Meh.
80,2,3,Good.  not great.
81,5,1,Super terrible :(
82,11,1,Incredibly mediocre.
83,10,4,will buy it again
84,8,2,Way too big.
85,14,5,A++ would buy again.
86,4,4,<33333
87,6,4,<33333
88,11,4,worth every penny
89,15,4,will buy it again
90,10,5,highly recommended
91,6,5,highly recommended
92,14,5,AMAZING!!!
93,12,5,AMAZING!!!
94,11,1,Super terrible :(
95,6,4,<33333
96,10,4,will buy it again
97,13,2,Meh.
98,12,2,Way too big.
99,2,5,A++ would buy again.
100,10,4,No complaints here.
